"","1 Bedroom","2 Bedrooms","3 Bedrooms","4 Bedrooms","5+ Bedrooms"
"Kildare ","31","244","1305","590","34"
"Meath ","36","323","1042","398","2"
"Fingal ","44","194","795","620","42"
"Cork County ","5","142","662","401","1"
"Wicklow ","13","155","667","331","9"
"Cork City ","1","258","654","188","2"
"Dun-Laoghaire Rathdown ","19","135","371","269","27"
"South Dublin ","8","63","470","100","6"
"Louth ","55","164","338","87","0"
"Wexford ","8","142","351","91","8"
"Westmeath ","0","73","366","52","5"
"Tipperary ","3","122","291","58","4"
"Laois ","0","107","265","101","4"
"Donegal ","23","107","247","46","1"
"Limerick ","1","79","244","97","2"
"Kerry ","13","74","165","92","2"
"Clare ","0","64","170","104","0"
"Kilkenny ","12","44","108","133","11"
"Waterford ","7","44","108","70","0"
"Galway County","3","37","101","68","1"
"Sligo ","0","29","81","58","1"
"Mayo ","2","37","87","33","1"
"Monaghan ","0","30","77","50","0"
"Longford ","0","37","90","3","0"
"Offaly ","5","19","72","27","0"
"Dublin City ","1","26","60","25","9"
"Carlow ","0","23","79","15","0"
"Roscommon ","0","15","54","27","0"
"Cavan ","4","14","29","5","6"
"Galway City ","2","21","16","14","0"
"Leitrim ","0","0","0","9","0"
