"","All Connections","New Dwelling Completions","Reconnections","Non-Dwelling","Unfinished"
"2011","10289","6994","1090","827","1378"
"2012","8345","4911","1260","723","1451"
"2013","8207","4575","1473","653","1506"
"2014","10929","5518","2290","753","2368"
"2015","12623","7219","2888","845","1671"
"2016","14923","9879","2341","843","1860"
"2017","19185","14355","2512","956","1362"
"2018","22385","17916","2673","908","888"
"2019","25259","21087","2591","857","724"
"2020","24543","20676","2399","975","493"
"2021","24639","20433","2592","1119","495"
