"","Total Single Adults","Total Families","Total No. of Households in Homelessness"
"November 2020","4,536","932","5,570"
"December 2020","4,447","930","5,417"
"January 2021","4,557","953","5,523"
"February 2021","4,590","1,005","5,525"
"March 2021","4,560","1,082","5,473"
"April 2021","4,533","1,108","5,458"
"May 2021","4,502","1,077","5,430"
"June 2021","4,497","1,119","5,429"
"July 2021","4,501","1,180","5,431"
"August 2021","4,469","1,238","5,422"
"September 2021","4,504","1,308","5,509"
"October 2021","4,565","1,366","5,647"
"November 2021","4,763","1,385","5,871"
"December 2021","4,719","1,423","5,796"
"January 2022","4,788","1,483","5,907"
"February 2022","4,907","1,532","6,087"
"March 2022","4,957","1,601","6,195"
"April 2022","4,957","1,616","6,265"
"May 2022","5,054","1,594","6,420"
"June 2022","5,177","1,609","6,562"
"July 2022","5,140","1,599","6,563"
"August 2022","5,184","1,639","6,667"
"September 2022","5,158","1,532","6,690"
"October 2022","5,320","1,601","6,921"
"November 2022","5,423","1,616","7,039"
"December 2022","5,571","1,594","7,165"
"January 2023","5,670","1,609","7,279"
"February 2023","5,706","1,599","7,305"
"March 2023","5,823","1,639","7,462"
"April 2023","5,836","1,723","7,559"
"May 2023","5,838","1,770","7,608"
"June 2023","5,880","1,804","7,684"
"July 2023","5,993","1,839","7,832"
"August 2023","5,690","1,886","7,576"
"September 2023","5,882","1,892","7,774"
"October 2023","6,000","1,939","7,939"
"November 2023","6,110","2,000","8,110"
"December 2023","6,171","1,916","8,087"
"January 2024","6,308","1,940","8,248"
"February 2024","6,352","1,994","8,346"
"March 2024","6,409","1,981","8,390"
"April 2024","6,457","1,996","8,453"
"May 2024","6,436","2,051","8,487"
"June 2024","6,448","2,093","8,541"
"July 2024","6573","2096","8669"
"August 2024","6,602","2,099","8,701"
"September 2024","6,681","2,133","8,814"
"October 2024","6,733","2,161","8,894"
"November 2024","6,929","2,168","9,097"
"December 2024","6,847","2,092","8,939"
"January 2025","7,045","2,164","9,209"
"February 2025","7,047","2,185","9,232"
"March 2025","7,031","2,212","9,243"
"April 2025","7,031","2,245","9,276"
"May 2025","7,064","2,273","9,337"
"June 2025","7,060","2,320","9,380"
"July 2025","7,075","2,343","9,418"
"August 2025","7,170","2,391","9,561"
"September 2025","7,238","2,443","9,681"
"October 2025","7,278","2,484","9,762"
"November 2025","7,382","2,525","9,907"
