"","Dublin","London (GLA)","Birmingham ","Manchester","Liverpool ","Glasgow"
"2010","4.8","7.2","5.2","5.0","5.5","5"
"2011","3.4","6.9","4.9","4.8","5.2","4.9"
"2012","3.6","7.8","5.2","4.8","5.3","4.7"
"2013","3.7","7.3","4.8","4.6","5.3","4.2"
"2014","4.3","8.5","4.9","4.7","5.2","4.3"
"2015","4.5","8.5","4.9","4.6","5.3","4.2"
"2016","4.7","8.5","4.8","4.5","5.1","4"
"2017","4.8","8.5","5.0","4.6","4.3","3.9"
"2018","4.8","8.3","5.2","4.7","4.3","4"
"2019","4.7","8.2","5.0","4.6","4.1","4.0"
"2020","5.4","8.6","5.2","4.8","4.4","3.8"
"2021","5.7","8","5.4","5","4.6","3.8"
"2022","5.1","8.7","4.8","5.5","4.8","4.2"
"2023","4.8","8.7","","5.5","4.8","4.2"
"2024","5.1","9.1","","6.4","5.3","4.6"
