"","","",""
"Carlow"," 251,000 ","","52.7269 -6.7927"
"Cavan"," 245,000 ","","53.9929 -7.3585"
"Clare"," 325,000 ","","52.857 -9.119"
"Cork"," 400,000 ","","51.9189 -8.8501"
"Donegal"," 215,000 ","","54.9218 -7.9024"
"Dublin"," 499,200 ","","53.3921 -6.2827"
"Galway"," 360,000 ","","53.3415 -8.3615"
"Kerry"," 285,000 ","","52.1266 -9.7302"
"Kildare"," 445,000 ","","53.1992 -6.8166"
"Kilkenny"," 327,000 ","","52.5783 -7.2073"
"Laois"," 365,000 ","","52.9898 -7.3322"
"Leitrim"," 225,000 ","","54.1475 -8.0665"
"Limerick"," 300,000 ","","52.501 -8.698"
"Longford"," 222,000 ","","53.7095 -7.7193"
"Louth"," 365,000 ","","53.9205 -6.5545"
"Mayo"," 245,000 ","","53.9253 -9.3803"
"Meath"," 420,000 ","","53.6385 -6.744"
"Monaghan"," 240,000 ","","54.1531 -6.922"
"Offaly"," 285,000 ","","53.136 -7.794"
"Roscommon"," 220,000 ","","53.7204 -8.2353"
"Sligo"," 271,500 ","","54.1905 -8.8565"
"Tipperary"," 290,000 ","","52.6432 -7.9313"
"Waterford"," 350,000 ","","52.147 -7.938"
"Westmeath"," 339,999 ","","53.518 -7.4372"
"Wexford"," 305,000 ","","52.461 -6.64"
"Wicklow"," 470,000 ","","52.9822 -6.3544"
