"STATISTIC Label","Quarter","Type of House","UNIT","VALUE"
"New Dwelling Completions","2021Q1","Single house","Number","977"
"New Dwelling Completions","2021Q1","Scheme house","Number","2259"
"New Dwelling Completions","2021Q1","Apartment","Number","721"
"New Dwelling Completions","2021Q1","All house types","Number","3957"
"New Dwelling Completions","2021Q2","Single house","Number","1156"
"New Dwelling Completions","2021Q2","Scheme house","Number","2530"
"New Dwelling Completions","2021Q2","Apartment","Number","1272"
"New Dwelling Completions","2021Q2","All house types","Number","4958"
"New Dwelling Completions","2021Q3","Single house","Number","1197"
"New Dwelling Completions","2021Q3","Scheme house","Number","2476"
"New Dwelling Completions","2021Q3","Apartment","Number","953"
"New Dwelling Completions","2021Q3","All house types","Number","4626"
"New Dwelling Completions","2021Q4","Single house","Number","1383"
"New Dwelling Completions","2021Q4","Scheme house","Number","3406"
"New Dwelling Completions","2021Q4","Apartment","Number","2126"
"New Dwelling Completions","2021Q4","All house types","Number","6915"
"New Dwelling Completions","2022Q1","Single house","Number","1105"
"New Dwelling Completions","2022Q1","Scheme house","Number","2799"
"New Dwelling Completions","2022Q1","Apartment","Number","1689"
"New Dwelling Completions","2022Q1","All house types","Number","5593"
"New Dwelling Completions","2022Q2","Single house","Number","1328"
"New Dwelling Completions","2022Q2","Scheme house","Number","3934"
"New Dwelling Completions","2022Q2","Apartment","Number","2318"
"New Dwelling Completions","2022Q2","All house types","Number","7580"
"New Dwelling Completions","2022Q3","Single house","Number","1514"
"New Dwelling Completions","2022Q3","Scheme house","Number","3575"
"New Dwelling Completions","2022Q3","Apartment","Number","2276"
"New Dwelling Completions","2022Q3","All house types","Number","7365"
"New Dwelling Completions","2022Q4","Single house","Number","1515"
"New Dwelling Completions","2022Q4","Scheme house","Number","4823"
"New Dwelling Completions","2022Q4","Apartment","Number","2746"
"New Dwelling Completions","2022Q4","All house types","Number","9084"
"New Dwelling Completions","2023Q1","Single house","Number","1174"
"New Dwelling Completions","2023Q1","Scheme house","Number","3081"
"New Dwelling Completions","2023Q1","Apartment","Number","2373"
"New Dwelling Completions","2023Q1","All house types","Number","6628"
"New Dwelling Completions","2023Q2","Single house","Number","1402"
"New Dwelling Completions","2023Q2","Scheme house","Number","4018"
"New Dwelling Completions","2023Q2","Apartment","Number","1838"
"New Dwelling Completions","2023Q2","All house types","Number","7258"
"New Dwelling Completions","2023Q3","Single house","Number","1421"
"New Dwelling Completions","2023Q3","Scheme house","Number","3642"
"New Dwelling Completions","2023Q3","Apartment","Number","3330"
"New Dwelling Completions","2023Q3","All house types","Number","8393"
"New Dwelling Completions","2023Q4","Single house","Number","1470"
"New Dwelling Completions","2023Q4","Scheme house","Number","4750"
"New Dwelling Completions","2023Q4","Apartment","Number","3987"
"New Dwelling Completions","2023Q4","All house types","Number","10207"
"New Dwelling Completions","2024Q1","Single house","Number","1165"
"New Dwelling Completions","2024Q1","Scheme house","Number","3071"
"New Dwelling Completions","2024Q1","Apartment","Number","1561"
"New Dwelling Completions","2024Q1","All house types","Number","5797"
"New Dwelling Completions","2024Q2","Single house","Number","1338"
"New Dwelling Completions","2024Q2","Scheme house","Number","3954"
"New Dwelling Completions","2024Q2","Apartment","Number","1521"
"New Dwelling Completions","2024Q2","All house types","Number","6813"
"New Dwelling Completions","2024Q3","Single house","Number","1322"
"New Dwelling Completions","2024Q3","Scheme house","Number","4498"
"New Dwelling Completions","2024Q3","Apartment","Number","3058"
"New Dwelling Completions","2024Q3","All house types","Number","8878"
"New Dwelling Completions","2024Q4","Single house","Number","1443"
"New Dwelling Completions","2024Q4","Scheme house","Number","4669"
"New Dwelling Completions","2024Q4","Apartment","Number","2547"
"New Dwelling Completions","2024Q4","All house types","Number","8659"
"New Dwelling Completions","2025Q1","Single house","Number","1112"
"New Dwelling Completions","2025Q1","Scheme house","Number","3034"
"New Dwelling Completions","2025Q1","Apartment","Number","1768"
"New Dwelling Completions","2025Q1","All house types","Number","5914"
"New Dwelling Completions","2025Q2","Single house","Number","1491"
"New Dwelling Completions","2025Q2","Scheme house","Number","4643"
"New Dwelling Completions","2025Q2","Apartment","Number","3029"
"New Dwelling Completions","2025Q2","All house types","Number","9163"
"New Dwelling Completions","2025Q3","Single house","Number","1510"
"New Dwelling Completions","2025Q3","Scheme house","Number","4547"
"New Dwelling Completions","2025Q3","Apartment","Number","3156"
"New Dwelling Completions","2025Q3","All house types","Number","9213"
"New Dwelling Completions","2025Q4","Single house","Number","1816"
"New Dwelling Completions","2025Q4","Scheme house","Number","6084"
"New Dwelling Completions","2025Q4","Apartment","Number","4094"
"New Dwelling Completions","2025Q4","All house types","Number","11994"
"Seasonally Adjusted New Dwelling Completions","2021Q1","Single house","Number","1139"
"Seasonally Adjusted New Dwelling Completions","2021Q1","Scheme house","Number","2727"
"Seasonally Adjusted New Dwelling Completions","2021Q1","Apartment","Number","856"
"Seasonally Adjusted New Dwelling Completions","2021Q1","All house types","Number","4722"
"Seasonally Adjusted New Dwelling Completions","2021Q2","Single house","Number","1140"
"Seasonally Adjusted New Dwelling Completions","2021Q2","Scheme house","Number","2504"
"Seasonally Adjusted New Dwelling Completions","2021Q2","Apartment","Number","1392"
"Seasonally Adjusted New Dwelling Completions","2021Q2","All house types","Number","5037"
"Seasonally Adjusted New Dwelling Completions","2021Q3","Single house","Number","1165"
"Seasonally Adjusted New Dwelling Completions","2021Q3","Scheme house","Number","2566"
"Seasonally Adjusted New Dwelling Completions","2021Q3","Apartment","Number","992"
"Seasonally Adjusted New Dwelling Completions","2021Q3","All house types","Number","4722"
"Seasonally Adjusted New Dwelling Completions","2021Q4","Single house","Number","1256"
"Seasonally Adjusted New Dwelling Completions","2021Q4","Scheme house","Number","2834"
"Seasonally Adjusted New Dwelling Completions","2021Q4","Apartment","Number","1635"
"Seasonally Adjusted New Dwelling Completions","2021Q4","All house types","Number","5725"
"Seasonally Adjusted New Dwelling Completions","2022Q1","Single house","Number","1291"
"Seasonally Adjusted New Dwelling Completions","2022Q1","Scheme house","Number","3447"
"Seasonally Adjusted New Dwelling Completions","2022Q1","Apartment","Number","2068"
"Seasonally Adjusted New Dwelling Completions","2022Q1","All house types","Number","6806"
"Seasonally Adjusted New Dwelling Completions","2022Q2","Single house","Number","1305"
"Seasonally Adjusted New Dwelling Completions","2022Q2","Scheme house","Number","3842"
"Seasonally Adjusted New Dwelling Completions","2022Q2","Apartment","Number","2537"
"Seasonally Adjusted New Dwelling Completions","2022Q2","All house types","Number","7684"
"Seasonally Adjusted New Dwelling Completions","2022Q3","Single house","Number","1477"
"Seasonally Adjusted New Dwelling Completions","2022Q3","Scheme house","Number","3704"
"Seasonally Adjusted New Dwelling Completions","2022Q3","Apartment","Number","2324"
"Seasonally Adjusted New Dwelling Completions","2022Q3","All house types","Number","7505"
"Seasonally Adjusted New Dwelling Completions","2022Q4","Single house","Number","1375"
"Seasonally Adjusted New Dwelling Completions","2022Q4","Scheme house","Number","4002"
"Seasonally Adjusted New Dwelling Completions","2022Q4","Apartment","Number","2112"
"Seasonally Adjusted New Dwelling Completions","2022Q4","All house types","Number","7489"
"Seasonally Adjusted New Dwelling Completions","2023Q1","Single house","Number","1375"
"Seasonally Adjusted New Dwelling Completions","2023Q1","Scheme house","Number","3873"
"Seasonally Adjusted New Dwelling Completions","2023Q1","Apartment","Number","2978"
"Seasonally Adjusted New Dwelling Completions","2023Q1","All house types","Number","8225"
"Seasonally Adjusted New Dwelling Completions","2023Q2","Single house","Number","1374"
"Seasonally Adjusted New Dwelling Completions","2023Q2","Scheme house","Number","3874"
"Seasonally Adjusted New Dwelling Completions","2023Q2","Apartment","Number","2013"
"Seasonally Adjusted New Dwelling Completions","2023Q2","All house types","Number","7260"
"Seasonally Adjusted New Dwelling Completions","2023Q3","Single house","Number","1391"
"Seasonally Adjusted New Dwelling Completions","2023Q3","Scheme house","Number","3779"
"Seasonally Adjusted New Dwelling Completions","2023Q3","Apartment","Number","3293"
"Seasonally Adjusted New Dwelling Completions","2023Q3","All house types","Number","8463"
"Seasonally Adjusted New Dwelling Completions","2023Q4","Single house","Number","1330"
"Seasonally Adjusted New Dwelling Completions","2023Q4","Scheme house","Number","3928"
"Seasonally Adjusted New Dwelling Completions","2023Q4","Apartment","Number","3109"
"Seasonally Adjusted New Dwelling Completions","2023Q4","All house types","Number","8367"
"Seasonally Adjusted New Dwelling Completions","2024Q1","Single house","Number","1368"
"Seasonally Adjusted New Dwelling Completions","2024Q1","Scheme house","Number","3919"
"Seasonally Adjusted New Dwelling Completions","2024Q1","Apartment","Number","1994"
"Seasonally Adjusted New Dwelling Completions","2024Q1","All house types","Number","7281"
"Seasonally Adjusted New Dwelling Completions","2024Q2","Single house","Number","1309"
"Seasonally Adjusted New Dwelling Completions","2024Q2","Scheme house","Number","3785"
"Seasonally Adjusted New Dwelling Completions","2024Q2","Apartment","Number","1670"
"Seasonally Adjusted New Dwelling Completions","2024Q2","All house types","Number","6764"
"Seasonally Adjusted New Dwelling Completions","2024Q3","Single house","Number","1300"
"Seasonally Adjusted New Dwelling Completions","2024Q3","Scheme house","Number","4672"
"Seasonally Adjusted New Dwelling Completions","2024Q3","Apartment","Number","2923"
"Seasonally Adjusted New Dwelling Completions","2024Q3","All house types","Number","8895"
"Seasonally Adjusted New Dwelling Completions","2024Q4","Single house","Number","1298"
"Seasonally Adjusted New Dwelling Completions","2024Q4","Scheme house","Number","3851"
"Seasonally Adjusted New Dwelling Completions","2024Q4","Apartment","Number","2014"
"Seasonally Adjusted New Dwelling Completions","2024Q4","All house types","Number","7162"
"Seasonally Adjusted New Dwelling Completions","2025Q1","Single house","Number","1311"
"Seasonally Adjusted New Dwelling Completions","2025Q1","Scheme house","Number","3903"
"Seasonally Adjusted New Dwelling Completions","2025Q1","Apartment","Number","2279"
"Seasonally Adjusted New Dwelling Completions","2025Q1","All house types","Number","7493"
"Seasonally Adjusted New Dwelling Completions","2025Q2","Single house","Number","1457"
"Seasonally Adjusted New Dwelling Completions","2025Q2","Scheme house","Number","4435"
"Seasonally Adjusted New Dwelling Completions","2025Q2","Apartment","Number","3363"
"Seasonally Adjusted New Dwelling Completions","2025Q2","All house types","Number","9255"
"Seasonally Adjusted New Dwelling Completions","2025Q3","Single house","Number","1492"
"Seasonally Adjusted New Dwelling Completions","2025Q3","Scheme house","Number","4720"
"Seasonally Adjusted New Dwelling Completions","2025Q3","Apartment","Number","2947"
"Seasonally Adjusted New Dwelling Completions","2025Q3","All house types","Number","9158"
"Seasonally Adjusted New Dwelling Completions","2025Q4","Single house","Number","1622"
"Seasonally Adjusted New Dwelling Completions","2025Q4","Scheme house","Number","5011"
"Seasonally Adjusted New Dwelling Completions","2025Q4","Apartment","Number","3257"
"Seasonally Adjusted New Dwelling Completions","2025Q4","All house types","Number","9890"
