"","Total Number of Adults & Children in Homelessness "
"November 2020","8,484"
"December 2020","8,200"
"January 2021","8,313"
"February 2021","8,238"
"March 2021","8,060"
"April 2021","8,082"
"May 2021","7,991"
"June 2021","8,014"
"July 2021","8,132"
"August 2021","8,212"
"September 2021","8,475"
"October 2021","8,830"
"November 2021","9,099"
"December 2021","8,914"
"January 2022","9,150"
"February 2022","9,492"
"March 2022","9,825"
"April 2022","10,049"
"May 2022","10,325"
"June 2022","10,492"
"July 2022","10,568"
"August 2022","10,805"
"September 2022","10,975"
"October 2022","11,397"
"November 2022","11,542"
"December 2022","11,632"
"January 2023","11,754"
"February 2023","11,742"
"March 2023","11,988"
"April 2023","12,259"
"May 2023","12,441"
"June 2023","12,600"
"July 2023","12,847"
"August 2023","12,691"
"September 2023","12,827"
"October 2023","13,179"
"November 2023","13,154"
"December 2023","13,318"
"January 2024","13,521"
"February 2024","13,841"
"March 2024","13,866"
"April 2024","14,009"
"May 2024","14,159"
"June 2024","14,303"
"July 2024","14,429"
"August 2024","14,486"
"September 2024","14,760"
"October 2024","14,966"
"November 2024","15,199"
"December 2024","14,864"
"January 2025","15,286"
"February 2025","15,378"
"March 2025","15,418"
"April 2025","15,580"
"May 2025","15,747"
"June 2025","15,915"
"July 2025","16,058"
"August 2025","16,353"
"September 2025","16,614"
"October 2025","16,766"
"November 2025","16,996"
