Location,Quarter,Number of Bedrooms,Property Type,VALUE
Dublin,2024Q1,All bedrooms,All property types,1800
Dublin,2024Q2,All bedrooms,All property types,1820
Dublin,2024Q3,All bedrooms,All property types,1840
Dublin,2024Q4,All bedrooms,All property types,1860
Dublin,2025Q1,All bedrooms,All property types,1920
Dublin,2025Q2,All bedrooms,All property types,1940
Dublin,2025Q3,All bedrooms,All property types,1960
Dublin,2025Q4,All bedrooms,All property types,1980
Galway,2024Q1,All bedrooms,All property types,1200
Galway,2024Q2,All bedrooms,All property types,1210
Galway,2024Q3,All bedrooms,All property types,1220
Galway,2024Q4,All bedrooms,All property types,1230
Galway,2025Q1,All bedrooms,All property types,1290
Galway,2025Q2,All bedrooms,All property types,1300
Galway,2025Q3,All bedrooms,All property types,1310
Galway,2025Q4,All bedrooms,All property types,1320
Cork,2024Q1,All bedrooms,All property types,1400
Cork,2024Q2,All bedrooms,All property types,1410
Cork,2024Q3,All bedrooms,All property types,1420
Cork,2024Q4,All bedrooms,All property types,1430
Cork,2025Q1,All bedrooms,All property types,1490
Cork,2025Q2,All bedrooms,All property types,1500
Cork,2025Q3,All bedrooms,All property types,1510
Cork,2025Q4,All bedrooms,All property types,1520
